City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,-22.79,100,96,1.12,RU,1702190391
1,auras,26.9167,80.5167,21.97,22,0,5.11,IN,1702190391
2,alvaraes,-3.2208,-64.8042,22.99,98,97,0.98,BR,1702190392
3,waitangi,-43.9535,-176.5597,10.46,95,100,1.34,NZ,1702190392
4,thompson,55.7435,-97.8558,-10.91,92,100,4.12,CA,1702190392
5,hermanus,-34.4187,19.2345,19.17,64,5,5.65,ZA,1702190392
6,port mathurin,-19.6833,63.4167,26.37,75,21,4.0,MU,1702190392
7,rockport,28.0206,-97.0544,19.0,47,75,11.83,US,1702190392
8,puerto natales,-51.7236,-72.4875,6.96,94,100,2.94,CL,1702190392
9,kanungu,-0.9575,29.7897,22.38,70,16,1.06,UG,1702190392
10,tsiombe,-25.3,45.4833,32.53,41,0,1.52,MG,1702190393
11,meulaboh,4.1363,96.1285,28.04,80,86,3.5,ID,1702190393
12,portland,45.5234,-122.6762,9.43,94,100,4.63,US,1702190291
13,aasiaat,68.7098,-52.8699,-12.14,92,99,3.74,GL,1702190393
14,adamstown,-25.066,-130.1015,21.57,76,100,2.34,PN,1702190393
15,puerto aysen,-45.4,-72.7,10.05,100,100,2.66,CL,1702190393
16,port-aux-francais,-49.35,70.2167,3.07,78,85,13.09,TF,1702190125
17,komsomolets,53.7453,62.0708,-20.62,89,44,3.19,KZ,1702190393
18,grytviken,-54.2811,-36.5092,5.43,88,75,5.36,GS,1702190393
19,bethel,41.3712,-73.414,8.01,88,100,0.0,US,1702190394
20,qarauyl,48.9451,79.255,-15.7,60,6,2.49,KZ,1702190394
21,colonel hill,22.7667,-74.2167,25.98,78,93,12.21,BS,1702190394
22,afaahiti,-17.75,-149.2833,25.93,86,88,9.85,PF,1702190394
23,talcahuano,-36.7167,-73.1167,12.63,71,24,3.54,CL,1702190240
24,usehat,27.8167,79.25,23.66,19,1,4.96,IN,1702190394
25,richards bay,-28.783,32.0377,21.36,95,100,4.56,ZA,1702190394
